,LINENAME,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
635,6,96 ST,2015-01-04,20:00:00,85858987,2164.0
636,6,96 ST,2015-01-05,00:00:00,85860038,1051.0
637,6,96 ST,2015-01-05,04:00:00,85860218,180.0
638,6,96 ST,2015-01-05,07:55:54,85862580,2362.0
639,6,96 ST,2015-01-05,12:00:00,85870191,7611.0
640,6,96 ST,2015-01-05,16:00:00,85876510,6319.0
641,6,96 ST,2015-01-05,20:00:00,85884456,7946.0
642,6,96 ST,2015-01-06,00:00:00,85886109,1653.0
643,6,96 ST,2015-01-06,04:00:00,85886289,180.0
644,6,96 ST,2015-01-06,08:00:00,85888841,2552.0
645,6,96 ST,2015-01-06,12:00:00,85896591,7750.0
646,6,96 ST,2015-01-06,16:00:00,85902932,6341.0
647,6,96 ST,2015-01-06,20:00:00,85911278,8346.0
648,6,96 ST,2015-01-07,00:00:00,85913204,1926.0
649,6,96 ST,2015-01-07,04:00:00,85913499,295.0
650,6,96 ST,2015-01-07,08:00:00,85915987,2488.0
651,6,96 ST,2015-01-07,12:00:00,85923687,7700.0
652,6,96 ST,2015-01-07,16:00:00,85929996,6309.0
653,6,96 ST,2015-01-07,20:00:00,85938479,8483.0
654,6,96 ST,2015-01-08,00:00:00,85940215,1736.0
655,6,96 ST,2015-01-08,04:00:00,85940402,187.0
656,6,96 ST,2015-01-08,08:00:00,85942851,2449.0
657,6,96 ST,2015-01-08,12:00:00,85950509,7658.0
658,6,96 ST,2015-01-08,16:00:00,85956394,5885.0
659,6,96 ST,2015-01-08,20:00:00,85964435,8041.0
660,6,96 ST,2015-01-09,00:00:00,85966345,1910.0
661,6,96 ST,2015-01-09,04:00:00,85966565,220.0
662,6,96 ST,2015-01-09,08:00:00,85969019,2454.0
663,6,96 ST,2015-01-09,12:00:00,85977018,7999.0
664,6,96 ST,2015-01-09,16:00:00,85983615,6597.0
665,6,96 ST,2015-01-09,20:00:00,85991268,7653.0
666,6,96 ST,2015-01-10,00:00:00,85993346,2078.0
667,6,96 ST,2015-01-10,04:00:00,85993647,301.0
668,6,96 ST,2015-01-10,08:00:00,85994221,574.0
669,6,96 ST,2015-01-10,12:00:00,85996732,2511.0
670,6,96 ST,2015-01-10,16:00:00,86000319,3587.0
671,6,96 ST,2015-01-10,20:00:00,86003619,3300.0
672,6,96 ST,2015-01-11,00:00:00,86005349,1730.0
673,6,96 ST,2015-01-11,04:00:00,86005623,274.0
674,6,96 ST,2015-01-11,08:00:00,86006026,403.0
675,6,96 ST,2015-01-11,12:00:00,86007974,1948.0
676,6,96 ST,2015-01-11,16:00:00,86010712,2738.0
677,6,96 ST,2015-01-11,20:00:00,86013047,2335.0
678,6,96 ST,2015-01-12,00:00:00,86014131,1084.0
679,6,96 ST,2015-01-12,04:00:00,86014308,177.0
680,6,96 ST,2015-01-12,05:58:57,86014480,172.0
681,6,96 ST,2015-01-12,06:00:17,86014487,7.0
682,6,96 ST,2015-01-12,07:50:50,86016445,1958.0
683,6,96 ST,2015-01-12,08:00:00,86016895,450.0
684,6,96 ST,2015-01-12,08:13:53,86017588,693.0
685,6,96 ST,2015-01-12,12:00:00,86024510,6922.0
686,6,96 ST,2015-01-12,16:00:00,86030597,6087.0
687,6,96 ST,2015-01-12,20:00:00,86038624,8027.0
688,6,96 ST,2015-01-13,00:00:00,86040395,1771.0
689,6,96 ST,2015-01-13,04:00:00,86040612,217.0
690,6,96 ST,2015-01-13,08:00:00,86043262,2650.0
691,6,96 ST,2015-01-13,08:20:39,86044461,1199.0
692,6,96 ST,2015-01-13,09:53:51,86048687,4226.0
693,6,96 ST,2015-01-13,12:00:00,86051101,2414.0
694,6,96 ST,2015-01-13,16:00:00,86057391,6290.0
695,6,96 ST,2015-01-13,20:00:00,86065801,8410.0
696,6,96 ST,2015-01-14,00:00:00,86067676,1875.0
697,6,96 ST,2015-01-14,04:00:00,86067861,185.0
698,6,96 ST,2015-01-14,08:00:00,86070437,2576.0
699,6,96 ST,2015-01-14,12:00:00,86078274,7837.0
700,6,96 ST,2015-01-14,16:00:00,86084452,6178.0
701,6,96 ST,2015-01-14,20:00:00,86093008,8556.0
702,6,96 ST,2015-01-15,00:00:00,86094914,1906.0
703,6,96 ST,2015-01-15,04:00:00,86095095,181.0
704,6,96 ST,2015-01-15,08:00:00,86097618,2523.0
705,6,96 ST,2015-01-15,12:00:00,86105412,7794.0
706,6,96 ST,2015-01-15,16:00:00,86111624,6212.0
707,6,96 ST,2015-01-15,20:00:00,86120171,8547.0
708,6,96 ST,2015-01-16,00:00:00,86122156,1985.0
709,6,96 ST,2015-01-16,04:00:00,86122368,212.0
710,6,96 ST,2015-01-16,08:00:00,86124763,2395.0
711,6,96 ST,2015-01-16,12:00:00,86132164,7401.0
712,6,96 ST,2015-01-16,16:00:00,86138808,6644.0
713,6,96 ST,2015-01-16,20:00:00,86146770,7962.0
714,6,96 ST,2015-01-17,00:00:00,86148876,2106.0
715,6,96 ST,2015-01-17,04:00:00,86149202,326.0
716,6,96 ST,2015-01-17,08:00:00,86149734,532.0
717,6,96 ST,2015-01-17,12:00:00,86151860,2126.0
718,6,96 ST,2015-01-17,16:00:00,86155169,3309.0
719,6,96 ST,2015-01-17,20:00:00,86158476,3307.0
720,6,96 ST,2015-01-18,00:00:00,86160275,1799.0
721,6,96 ST,2015-01-18,04:00:00,86160550,275.0
722,6,96 ST,2015-01-18,08:00:00,86160937,387.0
723,6,96 ST,2015-01-18,12:00:00,86162719,1782.0
724,6,96 ST,2015-01-18,16:00:00,86165413,2694.0
725,6,96 ST,2015-01-18,20:00:00,86167615,2202.0
726,6,96 ST,2015-01-19,00:00:00,86168741,1126.0
727,6,96 ST,2015-01-19,04:00:00,86168956,215.0
728,6,96 ST,2015-01-19,08:00:00,86169924,968.0
729,6,96 ST,2015-01-19,12:00:00,86173389,3465.0
730,6,96 ST,2015-01-19,16:00:00,86177583,4194.0
731,6,96 ST,2015-01-19,20:00:00,86181430,3847.0
732,6,96 ST,2015-01-20,00:00:00,86182765,1335.0
733,6,96 ST,2015-01-20,04:00:00,86182945,180.0
734,6,96 ST,2015-01-20,08:00:00,86185617,2672.0
735,6,96 ST,2015-01-20,09:08:37,86189515,3898.0
736,6,96 ST,2015-01-20,12:00:00,86193426,3911.0
737,6,96 ST,2015-01-20,16:00:00,86199759,6333.0
738,6,96 ST,2015-01-20,20:00:00,86208228,8469.0
739,6,96 ST,2015-01-21,00:00:00,86210084,1856.0
740,6,96 ST,2015-01-21,04:00:00,86210283,199.0
741,6,96 ST,2015-01-21,08:00:00,86212956,2673.0
742,6,96 ST,2015-01-21,12:00:00,86220804,7848.0
743,6,96 ST,2015-01-21,16:00:00,86226942,6138.0
744,6,96 ST,2015-01-21,20:00:00,86235364,8422.0
745,6,96 ST,2015-01-22,00:00:00,86237172,1808.0
746,6,96 ST,2015-01-22,04:00:00,86237395,223.0
747,6,96 ST,2015-01-22,08:00:00,86239950,2555.0
748,6,96 ST,2015-01-22,12:00:00,86247938,7988.0
749,6,96 ST,2015-01-22,16:00:00,86254182,6244.0
750,6,96 ST,2015-01-22,20:00:00,86262504,8322.0
751,6,96 ST,2015-01-23,00:00:00,86264568,2064.0
752,6,96 ST,2015-01-23,04:00:00,86264792,224.0
753,6,96 ST,2015-01-23,08:00:00,86267274,2482.0
754,6,96 ST,2015-01-23,12:00:00,86274864,7590.0
755,6,96 ST,2015-01-23,16:00:00,86281438,6574.0
756,6,96 ST,2015-01-23,20:00:00,86289505,8067.0
757,6,96 ST,2015-01-24,00:00:00,86291875,2370.0
758,6,96 ST,2015-01-24,04:00:00,86292195,320.0
759,6,96 ST,2015-01-24,08:00:00,86292754,559.0
760,6,96 ST,2015-01-24,12:00:00,86295019,2265.0
761,6,96 ST,2015-01-24,16:00:00,86298282,3263.0
762,6,96 ST,2015-01-24,20:00:00,86301678,3396.0
763,6,96 ST,2015-01-25,00:00:00,86303540,1862.0
764,6,96 ST,2015-01-25,04:00:00,86303846,306.0
765,6,96 ST,2015-01-25,08:00:00,86304279,433.0
766,6,96 ST,2015-01-25,12:00:00,86306377,2098.0
767,6,96 ST,2015-01-25,16:00:00,86309513,3136.0
768,6,96 ST,2015-01-25,20:00:00,86312062,2549.0
769,6,96 ST,2015-01-26,00:00:00,86313130,1068.0
770,6,96 ST,2015-01-26,04:00:00,86313327,197.0
771,6,96 ST,2015-01-26,08:00:00,86315930,2603.0
772,6,96 ST,2015-01-26,12:00:00,86323894,7964.0
773,6,96 ST,2015-01-26,16:00:00,86331644,7750.0
774,6,96 ST,2015-01-26,20:00:00,86336377,4733.0
775,6,96 ST,2015-01-27,00:00:00,86337077,700.0
776,6,96 ST,2015-01-27,04:00:00,86337078,1.0
777,6,96 ST,2015-01-27,08:00:00,86337082,4.0
778,6,96 ST,2015-01-27,12:00:00,86338691,1609.0
779,6,96 ST,2015-01-27,16:00:00,86340428,1737.0
780,6,96 ST,2015-01-27,20:00:00,86342880,2452.0
781,6,96 ST,2015-01-28,00:00:00,86343986,1106.0
782,6,96 ST,2015-01-28,04:00:00,86344130,144.0
783,6,96 ST,2015-01-28,08:00:00,86346803,2673.0
784,6,96 ST,2015-01-28,12:00:00,86354867,8064.0
785,6,96 ST,2015-01-28,16:00:00,86360523,5656.0
786,6,96 ST,2015-01-28,20:00:00,86368973,8450.0
787,6,96 ST,2015-01-29,00:00:00,86370965,1992.0
788,6,96 ST,2015-01-29,04:00:00,86371142,177.0
789,6,96 ST,2015-01-29,08:00:00,86373809,2667.0
790,6,96 ST,2015-01-29,12:00:00,86382082,8273.0
791,6,96 ST,2015-01-29,16:00:00,86387798,5716.0
792,6,96 ST,2015-01-29,20:00:00,86396547,8749.0
793,6,96 ST,2015-01-30,00:00:00,86398743,2196.0
794,6,96 ST,2015-01-30,04:00:00,86398910,167.0
795,6,96 ST,2015-01-30,08:00:00,86401334,2424.0
796,6,96 ST,2015-01-30,12:00:00,86409027,7693.0
797,6,96 ST,2015-01-30,16:00:00,86414984,5957.0
798,6,96 ST,2015-01-30,20:00:00,86423095,8111.0
